symbol,sessions,first_session,last_session,annualized_vol,mean_abs_return,total_log_return
ACWI,4470,2008-03-28,2025-12-31,0.202681,0.00824,1.377948
ACWX,4468,2008-04-01,2025-12-31,0.216157,0.008883,0.718863
AGG,5031,2006-01-03,2025-12-31,0.05314,0.002173,0.618227
BIL,4679,2007-05-30,2025-12-31,0.004941,0.000167,0.24082
BND,4714,2007-04-10,2025-12-31,0.052332,0.002191,0.569638
BNDX,3165,2013-06-04,2025-12-31,0.038631,0.001722,0.296169
DBA,4778,2007-01-05,2025-12-31,0.168096,0.007479,0.20408
DBC,5008,2006-02-06,2025-12-31,0.19172,0.008846,0.15314
DIA,5031,2006-01-03,2025-12-31,0.184491,0.007351,1.935035
DVY,5031,2006-01-03,2025-12-31,0.194939,0.007835,1.543584
EEM,5031,2006-01-03,2025-12-31,0.279534,0.011521,0.994053
EFA,5031,2006-01-03,2025-12-31,0.214323,0.008832,1.033828
EMB,4537,2007-12-19,2025-12-31,0.108449,0.00393,0.824591
EWA,5031,2006-01-03,2025-12-31,0.275616,0.011363,1.200166
EWC,5031,2006-01-03,2025-12-31,0.222582,0.009431,1.274788
EWG,5031,2006-01-03,2025-12-31,0.252688,0.010599,1.179794
EWH,5031,2006-01-03,2025-12-31,0.241888,0.010214,1.139885
EWI,5031,2006-01-03,2025-12-31,0.281431,0.012087,0.671785
EWJ,5031,2006-01-03,2025-12-31,0.204516,0.008875,0.707662
EWL,5031,2006-01-03,2025-12-31,0.193602,0.008266,1.492771
EWN,5031,2006-01-03,2025-12-31,0.244338,0.010461,1.481174
EWP,5031,2006-01-03,2025-12-31,0.276228,0.011724,1.143062
EWQ,5031,2006-01-03,2025-12-31,0.251796,0.010594,1.060832
EWT,5031,2006-01-03,2025-12-31,0.251503,0.010993,1.707263
EWU,5031,2006-01-03,2025-12-31,0.227239,0.00931,0.906905
EWW,5031,2006-01-03,2025-12-31,0.277312,0.012171,1.03922
EWY,5031,2006-01-03,2025-12-31,0.305065,0.01292,1.044691
EWZ,5031,2006-01-03,2025-12-31,0.374212,0.016351,0.732901
EZA,5031,2006-01-03,2025-12-31,0.345781,0.015485,1.075326
FXB,4911,2006-06-26,2025-12-31,0.094794,0.004302,-0.147286
FXE,5031,2006-01-03,2025-12-31,0.08934,0.004157,0.035728
FXI,5031,2006-01-03,2025-12-31,0.336514,0.014255,1.046007
FXY,4752,2007-02-13,2025-12-31,0.101637,0.004563,-0.34317
GLD,5031,2006-01-03,2025-12-31,0.178761,0.00799,2.009643
GOVT,3484,2012-02-24,2025-12-31,0.048269,0.002199,0.174036
GSG,4893,2006-07-21,2025-12-31,0.23272,0.010525,-0.75881
HYG,4713,2007-04-11,2025-12-31,0.110072,0.003866,0.908785
IAU,5031,2006-01-03,2025-12-31,0.178901,0.007986,2.031737
IBB,5031,2006-01-03,2025-12-31,0.236874,0.010999,1.908079
IEF,5031,2006-01-03,2025-12-31,0.068677,0.003244,0.65622
IEFA,3315,2012-10-24,2025-12-31,0.1653,0.007169,1.01699
IEMG,3315,2012-10-24,2025-12-31,0.192925,0.008778,0.671221
IJR,5031,2006-01-03,2025-12-31,0.238468,0.010477,1.6773
INDA,3498,2012-02-03,2025-12-31,0.219587,0.009509,0.845822
ITA,4946,2006-05-05,2025-12-31,0.226767,0.009735,2.325246
ITB,4946,2006-05-05,2025-12-31,0.353965,0.015336,0.796504
IVE,5031,2006-01-03,2025-12-31,0.195125,0.007905,1.626598
IVW,5031,2006-01-03,2025-12-31,0.199783,0.008297,2.351904
IWM,5031,2006-01-03,2025-12-31,0.244943,0.010801,1.552611
IYR,5031,2006-01-03,2025-12-31,0.283513,0.010762,1.079968
JNK,4548,2007-12-04,2025-12-31,0.115707,0.003902,0.880261
KRE,4913,2006-06-22,2025-12-31,0.336588,0.014163,0.777904
LQD,5031,2006-01-03,2025-12-31,0.086862,0.003357,0.815454
MCHI,3711,2011-03-31,2025-12-31,0.266852,0.01203,0.45023
MDY,5031,2006-01-03,2025-12-31,0.225265,0.00946,1.732443
MTUM,3197,2013-04-18,2025-12-31,0.19498,0.008287,1.745782
MUB,4608,2007-09-10,2025-12-31,0.053961,0.001929,0.561192
OIH,5031,2006-01-03,2025-12-31,0.401267,0.017583,-0.773207
PPLT,4020,2010-01-08,2025-12-31,0.242568,0.011217,0.159152
QQQ,5031,2006-01-03,2025-12-31,0.219722,0.009497,2.855002
QUAL,3134,2013-07-18,2025-12-31,0.172573,0.007183,1.559499
RSP,5031,2006-01-03,2025-12-31,0.206904,0.008425,1.833012
SCHD,3570,2011-10-20,2025-12-31,0.155342,0.006538,1.642685
SDY,5031,2006-01-03,2025-12-31,0.192138,0.007703,1.642393
SHY,5031,2006-01-03,2025-12-31,0.015077,0.000627,0.394886
SLV,4951,2006-04-28,2025-12-31,0.313901,0.013692,1.539886
SMH,5031,2006-01-03,2025-12-31,0.297809,0.013433,3.107632
SOXX,5031,2006-01-03,2025-12-31,0.305376,0.01385,2.864384
SPY,5031,2006-01-03,2025-12-31,0.193861,0.007808,2.053693
THD,4468,2008-04-01,2025-12-31,0.262515,0.011016,0.627306
TIP,5031,2006-01-03,2025-12-31,0.062545,0.002759,0.661452
TLT,5031,2006-01-03,2025-12-31,0.148952,0.00703,0.580734
UNG,4708,2007-04-18,2025-12-31,0.486543,0.022975,-6.272994
USMV,3570,2011-10-20,2025-12-31,0.135556,0.005562,1.580783
